SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,1234 Wilshire Blvd #121,Los Angeles,CA,90017,549500,1,1.5,C42 - Downtown L.A.,1130,71332,2006,54,486,780,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-121/home/12291907,CRMLS,PW23154688,N,Y,34.053194,-118.265658
MLS Listing,NA,Condo/Co-op,900 W Olympic Blvd Unit 39G,Los Angeles,CA,90015,1180350,1,2,Downtown L.A.,1260,399281,2010,1,937,2550,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/900-W-Olympic-Blvd-90015/unit-39G/home/51584748,TheMLS,23-321044,N,Y,34.0451611,-118.2666712
MLS Listing,NA,Condo/Co-op,400 S Broadway #1207,Los Angeles,CA,90013,720000,1,1,Downtown L.A.,695,36280,2021,1,1036,682,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-1207/home/188036613,TheMLS,23-318315,N,Y,34.0492595,-118.2494055
MLS Listing,NA,Condo/Co-op,400 S Broadway #908,Los Angeles,CA,90013,568000,1,1,Downtown L.A.,524,36280,2021,1,1084,552,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-908/home/188036612,TheMLS,23-318031,N,Y,34.0492595,-118.2494055
MLS Listing,NA,Condo/Co-op,400 Broadway #804,Los Angeles,CA,90013,508000,1,1,Downtown L.A.,524,36280,2021,1,969,552,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-804/home/188036611,TheMLS,23-318043,N,Y,34.0492595,-118.2494055
MLS Listing,NA,Condo/Co-op,645-W W 9th St #505,Los Angeles,CA,90015,495000,1,1,Downtown L.A.,754,74720,2006,2,656,784,Active,October-15-2023 10:00 AM,October-15-2023 02:00 PM,https://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-505/home/21914551,TheMLS,23-321037,N,Y,34.0456361,-118.2608972
MLS Listing,NA,Condo/Co-op,1440 Veteran Ave #210,Los Angeles,CA,90024,575000,1,1,Westwood - Century City,661,96893,1972,2,870,698,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1440-Veteran-Ave-90024/unit-210/home/6802861,TheMLS,23-320635,N,Y,34.0533214,-118.4435542
MLS Listing,NA,Condo/Co-op,889 Francisco St #3703,Los Angeles,CA,90017,927000,1,2,Downtown L.A.,920,98910,2017,2,1008,1083,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-3703/home/143517898,TheMLS,23-320649,N,Y,34.0480073,-118.264768
PAST SALE,NA,Condo/Co-op,118 Astronaut Ellison S. Onizuka St #204,Los Angeles,CA,90012,568000,1,1,Downtown L.A.,668,NA,2022,3,850,773,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/118-S-Astronaut-Ellison-Onizuka-St-90012/unit-204/home/182324749,TheMLS,22-208937,N,Y,34.0505558,-118.2418299
PAST SALE,NA,Condo/Co-op,877 Francisco St #1811,Los Angeles,CA,90017,750000,1,2,Downtown L.A.,963,128921,2017,3,779,750,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/877-Francisco-St-90017/unit-1811/home/167455504,TheMLS,23-317317,N,Y,34.0484553,-118.2634744
MLS Listing,NA,Condo/Co-op,1155 S Grand Ave #416,Los Angeles,CA,90015,665000,1,1,Downtown L.A.,1020,52748,2008,4,652,940,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1155-S-Grand-Ave-90015/unit-416/home/21913421,TheMLS,23-319987,N,Y,34.0405359,-118.2633243
MLS Listing,NA,Condo/Co-op,10501 Wilshire Blvd #1605,Los Angeles,CA,90024,819900,1,2,Westwood - Century City,893,42193,1963,4,918,1211,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10501-Wilshire-Blvd-90024/unit-1605/home/17224706,TheMLS,23-319813,N,Y,34.0640529,-118.432715
PAST SALE,August-2-1999,Condo/Co-op,121 S Hope St #7,Los Angeles,CA,90012,459000,1,1,Downtown L.A.,964,67190,1980,5,476,1068,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/121-S-Hope-St-90012/unit-7/home/6933335,TheMLS,23-318979,N,Y,34.0560037,-118.2507228
MLS Listing,NA,Condo/Co-op,10501 Wilshire Blvd #911,Los Angeles,CA,90024,675000,1,1,Westwood - Century City,784,42193,1963,5,861,1078,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10501-Wilshire-Blvd-90024/unit-911/home/17228654,TheMLS,23-318101,N,Y,34.0640529,-118.432715
